irods_filename	study	study_lims	sample	qc_complete	description	instrument_model	instrument_model	forward_read_length	requested_insert_size_from	ebi_run_acc	lane
5928_8_nonhuman#4.bam	AT-rich amplification	1935	KapHifi-3d7-no-tmac	2011-03-19 21:39:31	qc complete	HK	HK	76	100.0	ERR047179	5928_8_nonhuman#4
5941_1_nonhuman#1.bam	AT-rich amplification	1935	Plt-PK76-no-tmc	2011-03-28 09:32:22	qc complete	HK	HK	76	100.0		5941_1_nonhuman#1
5941_1_nonhuman#2.bam	AT-rich amplification	1935	Accu-PK76-no-tmc	2011-03-28 09:32:22	qc complete	HK	HK	76	100.0		5941_1_nonhuman#2
5941_1_nonhuman#3.bam	AT-rich amplification	1935	KapR-PK76-no-tmc	2011-03-28 09:32:22	qc complete	HK	HK	76	100.0		5941_1_nonhuman#3
5941_1_nonhuman#4.bam	AT-rich amplification	1935	KapHifi-PK76-no-tmc	2011-03-28 09:32:22	qc complete	HK	HK	76	100.0		5941_1_nonhuman#4
5941_6_nonhuman#1.bam	AT-rich amplification	1935	Plt-PK76-Plus-tmc	2011-03-28 09:32:22	qc complete	HK	HK	76	100.0		5941_6_nonhuman#1
5941_6_nonhuman#3.bam	AT-rich amplification	1935	KapR-PK76-Plus-tmc	2011-03-28 09:32:22	qc complete	HK	HK	76	100.0		5941_6_nonhuman#3
5941_6_nonhuman#4.bam	AT-rich amplification	1935	KapHiFi-PK76-Plus-tmc	2011-03-28 09:32:22	qc complete	HK	HK	76	100.0		5941_6_nonhuman#4
6346_3_nonhuman#1.bam	AT-rich amplification	1935	Phus_3d7	2011-06-15 12:57:52	qc complete	HK	HK	76	100.0	ERR047184	6346_3_nonhuman#1
6346_3_nonhuman#2.bam	AT-rich amplification	1935	Accu_3d7	2011-06-15 12:57:52	qc complete	HK	HK	76	100.0	ERR047185	6346_3_nonhuman#2
6346_3_nonhuman#3.bam	AT-rich amplification	1935	KapR_3d7	2011-06-15 12:57:52	qc complete	HK	HK	76	100.0	ERR047186	6346_3_nonhuman#3
6346_3_nonhuman#4.bam	AT-rich amplification	1935	KapHifi_3d7	2011-06-15 12:57:52	qc complete	HK	HK	76	100.0	ERR047187	6346_3_nonhuman#4
6346_5_nonhuman#1.bam	AT-rich amplification	1935	Phus_PK76	2011-06-15 12:57:52	qc complete	HK	HK	76	100.0	ERR047188	6346_5_nonhuman#1
6346_5_nonhuman#2.bam	AT-rich amplification	1935	Accu_PK76	2011-06-15 12:57:52	qc complete	HK	HK	76	100.0	ERR047189	6346_5_nonhuman#2
6346_5_nonhuman#3.bam	AT-rich amplification	1935	KapR_PK76	2011-06-15 12:57:52	qc complete	HK	HK	76	100.0	ERR047190	6346_5_nonhuman#3
6346_5_nonhuman#4.bam	AT-rich amplification	1935	KapHifi_PK76	2011-06-15 12:57:52	qc complete	HK	HK	76	100.0	ERR047191	6346_5_nonhuman#4
6901_8_nonhuman#10.bam	Plasmodium falciparum genome variation 1	578	Tr5E_1	2011-11-01 12:52:25	qc complete	HiSeq	HiSeq	100	200.0	ERR205946	6901_8_nonhuman#10
6901_8_nonhuman#11.bam	Plasmodium falciparum genome variation 1	578	Tr3E	2011-11-01 12:52:25	qc complete	HiSeq	HiSeq	100	200.0	ERR205947	6901_8_nonhuman#11
6901_8_nonhuman#2.bam	Plasmodium falciparum genome variation 1	578	Tr5E	2011-11-01 12:52:25	qc complete	HiSeq	HiSeq	100	200.0	ERR205938	6901_8_nonhuman#2
6901_8_nonhuman#3.bam	Plasmodium falciparum genome variation 1	578	Tr3E_1	2011-11-01 12:52:25	qc complete	HiSeq	HiSeq	100	200.0	ERR205939	6901_8_nonhuman#3
7560_8#1.bam	AT-rich amplification	1935	90Hs-3D7-plus	2012-03-01 17:33:07	qc complete	HiSeq	HiSeq	75	150.0		7560_8#1
7560_8#10.bam	AT-rich amplification	1935	PM56-minus	2012-03-01 17:33:07	qc complete	HiSeq	HiSeq	75	150.0		7560_8#10
7560_8#11.bam	AT-rich amplification	1935	PM65-minus	2012-03-01 17:33:07	qc complete	HiSeq	HiSeq	75	150.0		7560_8#11
7560_8#12.bam	AT-rich amplification	1935	PM116-minus	2012-03-01 17:33:07	qc complete	HiSeq	HiSeq	75	150.0		7560_8#12
7560_8#4.bam	AT-rich amplification	1935	PM56-plus	2012-03-01 17:33:07	qc complete	HiSeq	HiSeq	75	150.0		7560_8#4
7560_8#5.bam	AT-rich amplification	1935	PM65-plus	2012-03-01 17:33:07	qc complete	HiSeq	HiSeq	75	150.0		7560_8#5
7560_8#6.bam	AT-rich amplification	1935	PM116-plus	2012-03-01 17:33:07	qc complete	HiSeq	HiSeq	75	150.0		7560_8#6
7560_8#7.bam	AT-rich amplification	1935	90Hs-3D7-minus	2012-03-01 17:33:07	qc complete	HiSeq	HiSeq	75	150.0		7560_8#7
8002_4#1.bam	AT-rich amplification	1935	90Hs-3D7-Spri-1	2012-06-11 13:52:53	qc complete	HiSeq	HiSeq	75	150.0		8002_4#1
8002_4#2.bam	AT-rich amplification	1935	90Hs-3D7-Spri-2	2012-06-11 13:52:53	qc complete	HiSeq	HiSeq	75	150.0		8002_4#2
8002_4#21.bam	AT-rich amplification	1935	PF312-MspJI	2012-06-11 13:52:53	qc complete	HiSeq	HiSeq	75	150.0		8002_4#21
8002_4#22.bam	AT-rich amplification	1935	PH579-MspJI	2012-06-11 13:52:53	qc complete	HiSeq	HiSeq	75	150.0		8002_4#22
8002_4#23.bam	AT-rich amplification	1935	PH603-MspJI	2012-06-11 13:52:53	qc complete	HiSeq	HiSeq	75	150.0		8002_4#23
8002_4#3.bam	AT-rich amplification	1935	90Hs-3D7-Gel-no-Act	2012-06-11 13:52:53	qc complete	HiSeq	HiSeq	75	150.0		8002_4#3
8002_4#4.bam	AT-rich amplification	1935	3D7-no-dig	2012-06-11 13:52:53	qc complete	HiSeq	HiSeq	75	150.0		8002_4#4
8002_4#5.bam	AT-rich amplification	1935	90Hs-3D7-gel-plus-Act	2012-06-11 13:52:53	qc complete	HiSeq	HiSeq	75	150.0		8002_4#5
8002_4#6.bam	AT-rich amplification	1935	PK76-GE-WGA	2012-06-11 13:52:53	qc complete	HiSeq	HiSeq	75	150.0		8002_4#6
8002_4#7.bam	AT-rich amplification	1935	3D7-MspJ-dig	2012-06-11 13:52:53	qc complete	HiSeq	HiSeq	75	150.0		8002_4#7
